"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",24.95241082599315,18197.51125791712
"AFG",205791.24716616326,64385715.38637239
"AGO",55292492.03695789,124742297.51717131
"AIA",2125.7674030093235,8332.247766098953
"ALA",107727.26260976352,150643.19897168287
"ALB",648680.0522970463,2873537.2072491082
"AND",19004.03765967875,45196.41073187879
"ARE",0.0,7120447.90264668
"ARG",39086979.32057465,278010122.0692745
"ARM",336842.1509374125,2969008.6799906534
"ATF",71.63610311647179,4361.769312737578
"ATG",19323.3443446028,43575.658421296386
"AUS",42280598.56505131,768791339.5467209
"AUT",4336043.42772902,8385801.905500827
"AZE",1268610.2150762363,8623532.539269038
"BDI",537674.3483759122,2693531.44182174
"BEL",865425.8845894708,3070744.164066904
"BEN",168568.17385020014,11542318.344422985
"BES",2432.08701945902,32365.98588799593
"BFA",132.10845248505885,27341710.74521859
"BGD",1938957.8407029437,13938437.483009148
"BGR",4138947.99568345,11158730.954923011
"BHR",0.0,71517.71355015422
"BHS",303575.42138557404,1338762.5799054073
"BIH",2657977.3757346114,5106883.294355494
"BLM",621.9506204235514,2468.524817348379
"BLR",9118585.55132784,20706912.088082746
"BLZ",1736488.314437329,2187158.3707049345
"BMU",604.7941316472877,6808.118594281821
"BOL",64521463.01088537,108339284.56962669
"BRA",519187508.44571024,850035649.7393847
"BRB",5229.736144671532,43466.14610413839
"BRN",529338.9744079079,577778.7738791939
"BTN",2577234.598458709,3876296.122153533
"BWA",20328.410120159086,57788401.20902572
"CAF",47073501.13444924,62019959.33841989
"CAN",418066968.9005111,901410145.9689875
"CHE",1544417.6603324902,4124549.641870183
"CHL",19287066.431303702,75735291.61001253
"CHN",162748596.4371337,938223515.6921781
"CIV",14872640.430085937,32165794.108116172
"CMR",31459332.15238697,46604005.88969171
"COD",199281686.525022,232912780.76088542
"COG",26388373.1319198,34173222.79362486
"COL",81801036.05465335,113675874.94466364
"COM",134784.16599876172,167304.82830116124
"CPV",7355.953906164142,409097.9066020695
"CRI",3913048.712970488,5117666.821626128
