Date;Temperature;Relative Humidity;Dew Point;Rain
2019-07-05 10:50:00;18.25;064.68;11.50;00.00
2019-07-05 10:55:00;18.27;064.12;11.39;00.00
2019-07-05 11:00:00;17.31;066.58;11.04;00.00
2019-07-05 11:05:00;16.96;068.21;11.08;00.00
2019-07-05 11:10:00;17.22;068.62;11.42;00.00
2019-07-05 11:15:00;18.57;064.17;11.69;00.00
2019-07-05 11:20:00;19.28;062.49;11.96;00.00
2019-07-05 11:25:00;19.41;061.45;11.83;00.00
2019-07-05 11:30:00;19.45;060.88;11.72;00.00
2019-07-05 11:35:00;21.68;057.47;12.94;00.00
2019-07-05 11:40:00;21.55;056.05;12.44;00.00
2019-07-05 11:45:00;21.81;054.93;12.37;00.00
2019-07-05 11:50:00;20.55;056.13;11.52;00.00
2019-07-05 11:55:00;20.22;056.71;11.38;00.00
2019-07-05 12:00:00;19.22;060.91;11.51;00.00
2019-07-05 12:05:00;19.84;058.69;11.53;00.00
2019-07-05 12:10:00;18.47;061.95;11.06;00.00
2019-07-05 12:15:00;17.41;066.33;11.09;00.00
2019-07-05 12:20:00;15.87;075.77;11.62;00.00
2019-07-05 12:25:00;16.71;071.69;11.59;00.00
2019-07-05 12:30:00;19.24;063.14;12.07;00.00
2019-07-05 12:35:00;19.95;060.56;12.11;00.00
2019-07-05 12:40:00;18.89;062.90;11.69;00.00
2019-07-05 12:45:00;20.27;057.92;11.73;00.00
2019-07-05 12:50:00;20.22;057.44;11.57;00.00
2019-07-05 12:55:00;19.69;058.51;11.34;00.00
2019-07-05 13:00:00;20.31;057.53;11.67;00.00
2019-07-05 13:05:00;18.98;059.95;11.05;00.00
2019-07-05 13:10:00;19.15;060.44;11.33;00.00
2019-07-05 13:15:00;20.14;057.62;11.53;00.00
2019-07-05 13:20:00;21.02;054.76;11.58;00.00
2019-07-05 13:25:00;20.95;055.71;11.79;00.00
2019-07-05 13:30:00;20.18;056.30;11.22;00.00
2019-07-05 13:35:00;19.67;057.37;11.03;00.00
2019-07-05 13:40:00;19.80;057.66;11.22;00.00
2019-07-05 13:45:00;19.39;058.43;11.04;00.00
2019-07-05 13:50:00;18.77;059.98;10.85;00.00
2019-07-05 13:55:00;18.32;061.41;10.78;00.00
2019-07-05 14:05:00;16.64;072.50;11.70;00.00
2019-07-05 14:10:00;17.80;068.22;11.88;00.00
2019-07-05 14:15:00;19.15;064.33;12.28;00.00
2019-07-05 14:20:00;20.89;059.04;12.61;00.00
2019-07-05 14:25:00;20.70;058.02;12.16;00.00
2019-07-05 14:30:00;20.10;058.69;11.77;00.00
2019-07-05 14:35:00;20.10;059.06;11.87;00.00
2019-07-05 14:40:00;20.29;058.15;11.81;00.00
2019-07-05 14:45:00;19.69;059.99;11.72;00.00
2019-07-05 14:50:00;19.20;061.85;11.72;00.00
2019-07-05 14:55:00;19.22;062.16;11.82;00.00
2019-07-05 15:00:00;19.80;060.40;11.93;00.00
2019-07-05 15:05:00;19.17;061.75;11.68;00.00
2019-07-05 15:10:00;18.62;063.47;11.56;00.00
2019-07-05 15:15:00;18.02;066.65;11.74;00.00
2019-07-05 15:20:00;17.05;076.70;12.95;00.00
2019-07-05 15:25:00;17.41;079.21;13.79;00.00
2019-07-05 15:30:00;19.99;067.41;13.79;00.00
2019-07-05 15:35:00;20.98;061.36;13.28;00.00
2019-07-05 15:40:00;20.27;061.14;12.56;00.00
2019-07-05 15:45:00;20.12;062.07;12.65;00.00
2019-07-05 15:50:00;21.23;058.35;12.75;00.00
2019-07-05 15:55:00;21.28;058.07;12.72;00.00
2019-07-05 16:00:00;23.18;054.01;13.39;00.00
2019-07-05 16:05:00;25.09;046.56;12.86;00.00
2019-07-05 16:10:00;23.59;050.66;12.78;00.00
2019-07-05 16:15:00;24.84;047.83;13.04;00.00
2019-07-05 16:20:00;23.10;050.87;12.39;00.00
2019-07-05 16:25:00;21.17;055.92;12.04;00.00
2019-07-05 16:30:00;20.29;058.72;11.96;00.00
2019-07-05 16:35:00;20.33;058.95;12.06;00.00
2019-07-05 16:40:00;19.58;061.69;12.05;00.00
2019-07-05 16:45:00;19.54;062.24;12.14;00.00
2019-07-05 16:50:00;21.15;057.41;12.42;00.00
2019-07-05 16:55:00;22.71;052.86;12.62;00.00
2019-07-05 17:00:00;20.89;056.28;11.88;00.00
2019-07-05 17:05:00;19.90;059.25;11.74;00.00
2019-07-05 17:10:00;20.12;058.72;11.80;00.00
2019-07-05 17:15:00;20.29;058.45;11.89;00.00
2019-07-05 17:20:00;20.72;058.09;12.20;00.00
2019-07-05 17:25:00;21.45;055.33;12.14;00.00
2019-07-05 17:30:00;20.63;056.68;11.75;00.00
2019-07-05 17:35:00;20.03;058.90;11.77;00.00
2019-07-05 17:40:00;19.41;060.48;11.58;00.00
2019-07-05 17:45:00;19.80;059.82;11.78;00.00
2019-07-05 17:50:00;20.87;056.78;12.00;00.00
2019-07-05 17:55:00;20.80;056.65;11.90;00.00
2019-07-05 18:00:00;20.50;057.86;11.94;00.00
2019-07-05 18:05:00;20.89;057.21;12.13;00.00
2019-07-05 18:10:00;21.81;053.25;11.90;00.00
2019-07-05 18:15:00;21.98;052.96;11.97;00.00
2019-07-05 18:20:00;21.19;055.49;11.94;00.00
2019-07-05 18:25:00;20.55;056.35;11.58;00.00
2019-07-05 18:30:00;20.37;056.74;11.52;00.00
2019-07-05 18:35:00;20.59;056.75;11.73;00.00
2019-07-05 18:40:00;21.15;055.40;11.88;00.00
2019-07-05 18:45:00;23.03;050.30;12.16;00.00
2019-07-05 18:50:00;21.90;051.74;11.54;00.00
2019-07-05 18:55:00;21.15;054.55;11.65;00.00
2019-07-05 19:00:00;20.59;056.26;11.59;00.00
2019-07-05 19:05:00;20.31;056.20;11.32;00.00
2019-07-05 19:10:00;20.20;057.19;11.48;00.00
2019-07-05 19:15:00;19.88;057.65;11.30;00.00
2019-07-05 19:20:00;19.80;058.03;11.32;00.00
2019-07-05 19:25:00;19.67;058.65;11.36;00.00
2019-07-05 19:30:00;19.75;058.37;11.37;00.00
2019-07-05 19:35:00;19.60;058.89;11.36;00.00
2019-07-05 19:40:00;19.43;060.09;11.51;00.00
2019-07-05 19:45:00;19.17;060.37;11.33;00.00
2019-07-05 19:50:00;19.24;060.06;11.32;00.00
2019-07-05 19:55:00;19.30;059.99;11.36;00.00
2019-07-05 20:00:00;19.22;060.11;11.31;00.00
2019-07-05 20:05:00;18.92;061.40;11.35;00.00
2019-07-05 20:10:00;18.64;062.11;11.26;00.00
2019-07-05 20:15:00;17.37;069.55;11.77;00.00
2019-07-05 20:20:00;18.04;066.59;11.74;00.00
2019-07-05 20:25:00;18.14;065.54;11.60;00.00
2019-07-05 20:30:00;18.10;065.53;11.56;00.00
2019-07-05 20:35:00;18.02;066.01;11.59;00.00
2019-07-05 20:40:00;17.99;066.11;11.59;00.00
2019-07-05 20:45:00;17.97;066.00;11.54;00.00
2019-07-05 20:50:00;17.87;066.22;11.49;00.00
2019-07-05 20:55:00;17.80;067.10;11.63;00.00
2019-07-05 21:00:00;17.61;068.01;11.65;00.00
2019-07-05 21:05:00;17.48;068.43;11.62;00.00
2019-07-05 21:10:00;17.63;067.20;11.49;00.00
2019-07-05 21:15:00;17.50;067.73;11.49;00.00
2019-07-05 21:20:00;17.46;067.99;11.51;00.00
2019-07-05 21:25:00;17.41;068.32;11.54;00.00
2019-07-05 21:30:00;17.29;068.96;11.56;00.00
2019-07-05 21:35:00;17.26;069.17;11.58;00.00
2019-07-05 21:40:00;17.11;069.25;11.45;00.00
2019-07-05 21:45:00;17.05;069.57;11.46;00.00
2019-07-05 21:50:00;16.88;070.26;11.45;00.00
2019-07-05 21:55:00;16.88;070.14;11.42;00.00
2019-07-05 22:00:00;16.79;070.70;11.46;00.00
2019-07-05 22:05:00;16.71;071.18;11.48;00.00
2019-07-05 22:10:00;16.66;071.64;11.53;00.00
2019-07-05 22:15:00;16.66;071.99;11.61;00.00
2019-07-05 22:20:00;16.51;072.59;11.59;00.00
2019-07-05 22:25:00;16.30;073.51;11.57;00.00
2019-07-05 22:30:00;16.04;074.40;11.51;00.00
2019-07-05 22:35:00;15.96;075.05;11.55;00.00
2019-07-05 22:40:00;15.48;076.49;11.39;00.00
2019-07-05 22:45:00;15.40;076.89;11.38;00.00
2019-07-05 22:50:00;15.18;077.89;11.37;00.00
2019-07-05 22:55:00;14.91;078.69;11.25;00.00
2019-07-05 23:00:00;14.60;079.74;11.16;00.00
2019-07-05 23:05:00;14.33;081.59;11.23;00.00
2019-07-05 23:10:00;14.22;081.91;11.19;00.00
2019-07-05 23:20:00;14.65;082.05;11.63;00.00
2019-07-05 23:25:00;14.82;081.46;11.69;00.00
2019-07-05 23:30:00;14.88;081.11;11.69;00.00
2019-07-05 23:35:00;15.01;080.84;11.76;00.00
2019-07-05 23:40:00;14.88;081.01;11.67;00.00
2019-07-05 23:45:00;14.84;081.39;11.70;00.00
2019-07-05 23:50:00;14.88;081.28;11.72;00.00
2019-07-06 00:00:00;15.12;080.57;11.82;00.00
2019-07-06 00:05:00;15.18;080.14;11.80;00.00
2019-07-06 00:10:00;15.16;079.82;11.72;00.00
2019-07-06 00:15:00;15.21;079.42;11.68;00.00
2019-07-06 00:20:00;15.03;079.83;11.60;00.00
2019-07-06 00:25:00;14.93;080.17;11.56;00.00
2019-07-06 00:30:00;14.43;082.18;11.45;00.00
2019-07-06 00:35:00;14.05;083.81;11.37;00.00
2019-07-06 00:40:00;13.73;084.86;11.24;00.00
2019-07-06 00:45:00;13.47;086.09;11.20;00.00
2019-07-06 00:50:00;13.25;086.61;11.08;00.00
2019-07-06 00:55:00;13.30;086.32;11.08;00.00
2019-07-06 01:00:00;13.45;086.36;11.23;00.00
2019-07-06 01:05:00;13.79;086.61;11.61;00.00
2019-07-06 01:10:00;13.94;086.53;11.74;00.00
2019-07-06 01:15:00;13.94;085.72;11.60;00.00
2019-07-06 01:20:00;14.09;085.86;11.78;00.00
2019-07-06 01:25:00;14.33;085.09;11.87;00.00
2019-07-06 01:30:00;14.37;085.15;11.92;00.00
2019-07-06 01:35:00;14.48;084.64;11.94;00.00
2019-07-06 01:40:00;14.54;084.32;11.94;00.00
2019-07-06 01:45:00;14.54;084.13;11.91;00.00
2019-07-06 01:50:00;14.52;084.17;11.89;00.00
2019-07-06 01:55:00;14.45;084.26;11.85;00.00
2019-07-06 02:00:00;14.41;084.32;11.82;00.00
2019-07-06 02:05:00;14.11;084.91;11.63;00.00
2019-07-06 02:10:00;13.62;086.69;11.46;00.00
2019-07-06 02:15:00;13.47;087.52;11.45;00.00
2019-07-06 02:20:00;13.34;088.09;11.42;00.00
2019-07-06 02:25:00;13.23;088.03;11.31;00.00
2019-07-06 02:30:00;12.97;088.33;11.10;00.00
2019-07-06 02:35:00;12.95;089.36;11.26;00.00
2019-07-06 02:40:00;12.78;089.63;11.13;00.00
2019-07-06 02:45:00;12.67;090.13;11.11;00.00
2019-07-06 02:50:00;12.37;087.57;10.38;00.00
2019-07-06 02:55:00;12.10;087.54;10.10;00.00
2019-07-06 03:00:00;11.94;087.00;09.86;00.00
2019-07-06 03:05:00;12.01;088.94;10.26;00.00
2019-07-06 03:10:00;12.31;089.86;10.71;00.00
2019-07-06 03:15:00;12.48;089.61;10.83;00.00
2019-07-06 03:20:00;12.72;090.02;11.14;00.00
2019-07-06 03:25:00;12.93;089.45;11.25;00.00
2019-07-06 03:30:00;13.25;089.50;11.58;00.00
2019-07-06 03:35:00;13.43;089.13;11.69;00.00
2019-07-06 03:40:00;13.51;088.55;11.67;00.00
2019-07-06 03:45:00;13.64;088.35;11.76;00.00
2019-07-06 03:50:00;13.77;087.98;11.83;00.00
2019-07-06 03:55:00;13.77;087.89;11.81;00.00
2019-07-06 04:00:00;13.90;087.60;11.89;00.00
2019-07-06 04:05:00;13.96;087.37;11.91;00.00
2019-07-06 04:10:00;13.96;087.44;11.92;00.00
2019-07-06 04:15:00;14.03;087.10;11.93;00.00
2019-07-06 04:20:00;13.94;087.24;11.87;00.00
2019-07-06 04:25:00;14.03;087.24;11.95;00.00
2019-07-06 04:30:00;14.07;086.97;11.95;00.00
2019-07-06 04:35:00;14.09;087.20;12.01;00.00
2019-07-06 04:40:00;14.09;087.30;12.03;00.00
2019-07-06 04:45:00;14.11;087.15;12.02;00.00
2019-07-06 04:50:00;14.05;086.90;11.91;00.00
2019-07-06 04:55:00;14.13;086.87;11.99;00.00
2019-07-06 05:00:00;14.26;086.29;12.02;00.00
2019-07-06 05:05:00;14.20;086.47;11.99;00.00
2019-07-06 05:10:00;14.11;086.54;11.91;00.00
2019-07-06 05:15:00;14.15;086.85;12.01;00.00
2019-07-06 05:20:00;14.20;086.77;12.04;00.00
2019-07-06 05:25:00;14.24;086.58;12.05;00.00
2019-07-06 05:30:00;14.30;086.31;12.06;00.00
2019-07-06 05:35:00;14.33;085.96;12.02;00.00
2019-07-06 05:40:00;14.37;085.56;12.00;00.00
2019-07-06 05:45:00;14.43;085.69;12.08;00.00
2019-07-06 05:50:00;14.54;085.56;12.16;00.00
2019-07-06 05:55:00;14.60;084.98;12.12;00.00
2019-07-06 06:00:00;14.69;084.56;12.13;00.00
2019-07-06 06:05:00;14.75;084.24;12.14;00.00
2019-07-06 06:10:00;14.78;083.97;12.11;00.00
2019-07-06 06:15:00;14.91;083.72;12.19;00.00
2019-07-06 06:20:00;14.99;083.29;12.20;00.00
2019-07-06 06:25:00;14.99;083.05;12.15;00.00
2019-07-06 06:30:00;14.99;083.07;12.16;00.00
2019-07-06 06:35:00;14.97;083.45;12.20;00.00
2019-07-06 06:40:00;14.97;083.00;12.12;00.00
2019-07-06 06:45:00;15.03;082.83;12.15;00.00
2019-07-06 06:50:00;15.23;082.49;12.28;00.00
2019-07-06 06:55:00;15.25;082.34;12.27;00.00
2019-07-06 07:00:00;15.10;082.57;12.17;00.00
2019-07-06 07:05:00;15.08;082.42;12.12;00.00
2019-07-06 07:10:00;15.08;082.89;12.21;00.00
2019-07-06 07:15:00;15.27;083.25;12.46;00.00
2019-07-06 07:20:00;15.51;084.40;12.90;00.00
2019-07-06 07:25:00;15.63;084.50;13.05;00.00
2019-07-06 07:30:00;15.57;084.36;12.96;00.00
2019-07-06 07:35:00;15.36;085.14;12.89;00.00
2019-07-06 07:40:00;15.33;084.90;12.83;00.00
2019-07-06 07:45:00;15.36;084.65;12.80;00.00
2019-07-06 07:50:00;15.38;085.04;12.89;00.00
2019-07-06 07:55:00;16.08;082.90;13.20;00.00
2019-07-06 08:00:00;16.54;080.41;13.17;00.00
2019-07-06 08:05:00;16.60;080.32;13.22;00.00
2019-07-06 08:10:00;16.49;080.37;13.12;00.00
2019-07-06 08:15:00;16.75;079.40;13.18;00.00
2019-07-06 08:20:00;16.58;079.72;13.08;00.00
2019-07-06 08:25:00;16.49;080.27;13.10;00.00
2019-07-06 08:30:00;16.62;080.95;13.35;00.00
2019-07-06 08:35:00;17.14;079.91;13.66;00.00
2019-07-06 08:40:00;17.97;075.73;13.64;00.00
2019-07-06 08:45:00;18.74;074.08;14.05;00.00
2019-07-06 08:50:00;18.23;073.84;13.50;00.00
2019-07-06 08:55:00;18.14;074.32;13.52;00.00
2019-07-06 09:00:00;18.19;073.14;13.32;00.00
2019-07-06 09:05:00;18.19;072.73;13.23;00.00
2019-07-06 09:10:00;18.25;072.82;13.31;00.00
2019-07-06 09:15:00;18.23;072.73;13.27;00.00
2019-07-06 09:20:00;18.83;070.50;13.37;00.00
2019-07-06 09:25:00;18.89;070.81;13.50;00.00
2019-07-06 09:30:00;18.74;070.50;13.29;00.00
2019-07-06 09:35:00;18.57;069.58;12.92;00.00
2019-07-06 09:40:00;18.57;070.27;13.07;00.00
2019-07-06 09:45:00;18.68;070.26;13.17;00.00
2019-07-06 09:50:00;19.32;067.60;13.20;00.00
2019-07-06 09:55:00;19.84;069.27;14.07;00.00
2019-07-06 10:00:00;19.65;066.39;13.23;00.00
2019-07-06 10:05:00;19.75;066.48;13.35;00.00
2019-07-06 10:10:00;20.29;067.77;14.16;00.00
2019-07-06 10:15:00;21.36;064.89;14.51;00.00
2019-07-06 10:20:00;20.95;062.35;13.50;00.00
2019-07-06 10:25:00;21.70;060.51;13.75;00.00
2019-07-06 10:30:00;20.18;064.80;13.36;00.00
2019-07-06 10:35:00;19.95;065.06;13.20;00.00
2019-07-06 10:40:00;19.47;066.27;13.04;00.00
2019-07-06 10:45:00;19.11;067.57;12.99;00.00
2019-07-06 10:50:00;18.62;071.76;13.44;00.00
2019-07-06 10:55:00;20.01;066.14;13.52;00.00
2019-07-06 11:00:00;19.84;071.62;14.58;00.00
2019-07-06 11:05:00;20.70;063.22;13.47;00.00
2019-07-06 11:10:00;18.85;072.73;13.87;00.00
2019-07-06 11:15:00;18.06;079.86;14.55;00.00
